season,phase,competition_group,competition,position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,standings_url,scraped_at
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,1,Surbiton W1,11,9,2,0,47,11,36,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:04
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2,Hampstead & Westminster W1,11,8,1,2,30,10,20,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:04
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,3,East Grinstead W1,11,8,1,2,24,16,8,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:04
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,4,Reading 1,11,6,2,3,22,14,8,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,5,Wimbledon W1,11,5,4,2,19,11,8,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,6,Durham University 1,11,5,0,6,29,21,8,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,7,Loughborough Students W1,11,4,3,4,17,24,-7,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,8,University of Birmingham W1,11,3,3,5,19,23,-4,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,9,Bowdon 1,11,3,2,6,15,22,-7,11,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,10,Clifton Robinsons 1,11,2,2,7,16,28,-12,8,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,11,University of Nottingham 1,11,1,2,8,13,46,-33,5,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,12,Barnes W1,11,1,0,10,12,37,-25,3,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,1,Surbiton W1,11,9,2,0,47,11,36,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:41
